model_name,profile_id,samples,expected_hits,CVaR_90,p_hit_ge_1,value_lost,expected_unique_ships_hit,expected_repeat_hits,expected_loss,CVaR_90_loss
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P06,24,2.6666666666666665,3.0625,1.0,3.587499999999999,1.7083333333333333,0.9583333333333334,5.4875,6.4142857142857155
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P07,24,3.8333333333333335,4.0,1.0,3.7249999999999996,2.5833333333333335,1.25,6.558333333333334,7.733333333333333
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P09,24,2.8333333333333335,4.0,1.0,3.9874999999999994,2.7916666666666665,0.25,6.829166666666667,8.3875
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P11,24,3.6666666666666665,4.0,1.0,5.0249999999999995,2.9166666666666665,0.75,8.091666666666665,8.399999999999999
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P15,24,2.125,3.0,1.0,3.3156249999999994,2.9583333333333335,0.0,6.273958333333333,6.324999999999998
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P16,24,2.75,3.0588235294117645,1.0,2.9999999999999996,2.0,0.75,5.15,5.211764705882353
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P17,24,3.0833333333333335,4.0,1.0,4.53046875,3.9166666666666665,0.16666666666666666,8.48046875,10.401874999999999
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P18,24,1.9583333333333333,3.0,1.0,5.199999999999999,4.0,0.0,9.2,9.2
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P19,24,3.5416666666666665,4.0,1.0,3.7375000000000003,3.875,0.041666666666666664,7.620833333333334,9.9
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P21,24,2.9166666666666665,3.0476190476190474,1.0,2.7062499999999994,2.4166666666666665,0.7083333333333334,5.264583333333333,9.2
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P22,24,2.75,3.0,1.0,13.393749999999995,5.958333333333333,0.0,19.35208333333333,19.499999999999996
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P24,24,3.75,4.0,1.0,6.337499999999999,3.0,0.7916666666666666,9.495833333333332,12.624999999999998
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P25,24,2.5,3.0,1.0,4.812499999999999,2.2916666666666665,0.3333333333333333,7.170833333333333,9.299999999999999
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P27,24,3.8333333333333335,4.0,1.0,6.181770833333332,5.291666666666667,0.0,11.473437499999998,13.319642857142858
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P28,24,2.0,2.0434782608695654,1.0,10.389583333333333,5.125,0.0,15.514583333333333,20.833333333333332
rect_uniform_6x7_none_mixed_balanced_standard_standard_train,P30,24,2.6666666666666665,4.0,1.0,3.81875,2.7083333333333335,0.0,6.527083333333333,9.649999999999999
rect_uniform_6x7_none_mixed_balanced_standard_standard_eval,P03,24,3.125,4.0,1.0,2.912499999999999,2.0,1.125,5.1375,5.7299999999999995
rect_uniform_6x7_none_mixed_balanced_standard_standard_eval,P08,24,2.2916666666666665,3.0,1.0,3.36875,2.25,0.08333333333333333,5.635416666666667,7.200000000000001
rect_uniform_6x7_none_mixed_balanced_standard_standard_eval,P10,24,2.9583333333333335,4.0,1.0,3.6729166666666657,2.5833333333333335,0.4166666666666667,6.339583333333333,7.999999999999999
rect_uniform_6x7_none_mixed_balanced_standard_standard_eval,P12,24,3.7083333333333335,4.0,1.0,4.7749999999999995,3.25,0.5,8.125,10.35
rect_uniform_6x7_none_mixed_balanced_standard_standard_eval,P13,24,2.8333333333333335,3.0526315789473686,1.0,4.0249999999999995,1.9166666666666667,0.9166666666666666,6.124999999999999,6.410526315789474
rect_uniform_6x7_none_mixed_balanced_standard_standard_eval,P14,24,4.0,4.0,1.0,4.997916666666666,4.0,0.2916666666666667,9.05625,10.487499999999999
rect_uniform_6x7_none_mixed_balanced_standard_standard_eval,P20,24,3.9583333333333335,4.0,1.0,4.199999999999999,3.0,0.9583333333333334,7.391666666666666,7.4
rect_uniform_6x7_none_mixed_balanced_standard_standard_eval,P23,24,3.3333333333333335,4.0,1.0,4.562499999999999,2.2916666666666665,1.0416666666666667,7.062499999999999,9.149999999999999
rect_uniform_6x7_none_mixed_balanced_standard_standard_eval,P26,24,2.9583333333333335,3.0,1.0,4.374999999999999,2.5833333333333335,0.375,7.033333333333334,8.25
rect_uniform_6x7_none_mixed_balanced_standard_standard_eval,P29,24,1.9583333333333333,2.0454545454545454,1.0,5.735416666666666,2.5833333333333335,0.0,8.31875,11.525
rect_uniform_6x7_none_mixed_balanced_standard_loose_train,P01,24,3.5,4.0,1.0,3.1999999999999997,2.0,1.5,5.5,5.6
rect_uniform_6x7_none_mixed_balanced_standard_loose_train,P02,24,2.9583333333333335,3.0,1.0,4.008333333333333,2.9166666666666665,0.125,6.95,7.31
rect_uniform_6x7_none_mixed_balanced_standard_loose_train,P04,24,2.4583333333333335,3.0714285714285716,0.9583333333333334,3.4999999999999987,1.6666666666666667,0.7916666666666666,5.324999999999999,6.415384615384616
rect_uniform_6x7_none_mixed_balanced_standard_loose_train,P05,24,2.75,4.0,1.0,3.537499999999999,2.2083333333333335,0.5416666666666666,5.854166666666667,8.399999999999999
rect_uniform_6x7_none_mixed_balanced_standard_loose_train,P06,24,2.6666666666666665,3.0625,1.0,3.587499999999999,1.7083333333333333,0.9583333333333334,5.4875,6.4142857142857155
rect_uniform_6x7_none_mixed_balanced_standard_loose_train,P07,24,3.5416666666666665,4.0,1.0,3.1999999999999997,2.0,1.5416666666666667,5.508333333333333,5.6
rect_uniform_6x7_none_mixed_balanced_standard_loose_train,P09,24,3.2083333333333335,4.0,1.0,4.1125,2.9583333333333335,0.4166666666666667,7.154166666666666,7.980000000000001
rect_uniform_6x7_none_mixed_balanced_standard_loose_train,P11,24,2.5,3.0,1.0,4.0249999999999995,1.9166666666666667,0.5833333333333334,6.058333333333333,6.4
